tanggal,tweets,tweet_clean,sentiment_MP,sentiment_NB
2022-11-10,"digital digital apaan, chanel yg gk ketangkep sinyal ilang, ujan dikit tayangan sering ngadat sinyal ilang-sinyal ilang...
gk setuju banget sama kebijakan tv digital ini, gk papa deh balik kek dulu lagi meski tv-nya banyak semutnya https://t.co/UbTHkT6bZR",digital digital chanel gk ketangkep sinyal ilang ujan dikit tayangan ngadat sinyal ilang sinyal ilang gk setuju banget kebijakan tv digital gk papa deh kek tv semutnya,positif,1
2022-11-10,@AREAJULID kamu komenin tv digital tpi isi pict pada permasalahin stb? sehat? yg bermasalah stb nya kok yg dikomenin tv digital nya? kocag,komenin tv digital tpi isi pict permasalahin stb sehat bermasalah stb dikomenin tv digital kocag,netral,1
2022-11-10,"@AREAJULID hadehh rada2 emng udh di ksh juga msh nyalahin, bpk gw noh bela2in beli biar bs nntn tv mlh udh wanti2 dr awal pemerintah nyaranin buat pindah ke tv digital. Ilng sinyal/gd saluran tv nya itu ya antena mu blokk kurng, buktinya di tv rmh gw dpt smua. bljr lah untuk suatu yg baru",hadehh rada emng udh ksh msh nyalahin bpk gw noh belain beli biar bs nntn tv mlh udh wanti dr pemerintah nyaranin pindah tv digital ilng sinyal gd saluran tv antena mu blokk kurng buktinya tv rmh gw dpt smua bljr,netral,1
2022-11-10,"@AREAJULID pertama , cel dulu daerah tempat tinggal kalian apakah sudah dapat siaran digital dan bagaimana kekuatan sinyal nya (banyak kok app nya di play store)

kedua,mending stb yg bisa pakai antena diluar, pengalaman dari saya, saya gunakan antena untuk nonton tv analog yg lama.",cel daerah tinggal siaran digital kekuatan sinyal app play store mending stb pakai antena diluar pengalaman antena nonton tv analog,netral,1
2022-11-10,@siarandigital Wes angel² sinyal tv digital saja belum merata kok bisa²nya sudah mulai diberlakukan 🤦🤦,wes angel sinyal tv digital merata diberlakukan,netral,1
2022-11-10,Cek Weyon tv digital 21 inch HD tv led 24 inch Televisi(Model TCLG-W21/22/24/25/27/30inch)[Garansi 1 Tahun] dengan harga Rp759.000 - Rp1.199.000. Dapatkan di Shopee sekarang! https://t.co/WANcdPZKgP https://t.co/tSKRIfVn0D,cek weyon tv digital inch hd tv led inch televisi model tclg w inch garansi harga dapatkan shopee,netral,1
2022-11-10,"Apakah TV Hisense Sudah Digital, Cek di Sini https://t.co/lsQssWoVQO",tv hisense digital cek,netral,1
2022-11-10,Untuk paket Vidio World Cup ini anda dapat menyaksikan 8 pertandingan yg tidak disiarakan melalui TV digital Uhf. Apa saja pertandingannya? Berikut sudah saya lampirkan daftarnya digambar ini. #vidioworldcup #sportstream101 https://t.co/Xh9YtngU1s,paket vidio world cup menyaksikan pertandingan tidak disiarakan tv digital uhf pertandingannya lampirkan daftarnya digambar,netral,1
2022-11-10,"@_fanani7 @R_Perkasa @kareesnikoray @PramSada @PramuajiAjay Sempet ketar ketir krn platform OTT yg bakal nyiarin full 64 match, sdgkn yg tv digital kurang dri itu. Tpi ketika sdh rilis jadwal tayang wc 2022 antar platform tv digital dan OTT, kya eh anjir cuman 8 match ""gitu"" doang yg tambahan di OTT. Syukur deh 😆",sempet ketar ketir krn platform ott nyiarin full match sdgkn tv digital dri tpi sdh rilis jadwal tayang wc platform tv digital ott kya eh anjir cuman match gitu doang tambahan ott syukur deh,netral,1
2022-11-10,"@irsyahan_ @R_Perkasa @kareesnikoray @PramSada @PramuajiAjay Mantap lah skrng.. tv digitalnya emtek udah cling.. tahun pertama piala dunia nonton di tv digital. Gambar sebagus satelit, streaming.. tp bs gratis terestrial gk kyak analog yg masih buriq dlu.. gt masih ada yg nolak migrasi yg harusnya udah bertahun2 yg lalu heran dah 🤦‍♂️",mantap skrng tv digitalnya emtek cling piala dunia nonton tv digital gambar sebagus satelit streaming tp bs gratis terestrial gk kyak analog buriq dlu gt nolak migrasi bertahun heran dah,positif,1
2022-11-10,"Mau GRATIS Set Top Box dari Kominfo? Tinggal Masukan NIK KTP di Website Ini STB Datang dan Nikmati TV Digital

#IkatanCintaEp947 #IkatanCintaEp946
#IkatanCinta Aldebaran Andin Elsa Nino https://t.co/qg3S6sgXm1",gratis set top box kominfo tinggal masukan nik ktp website stb nikmati tv digital aldebaran andin elsa nino,positif,1
2022-11-10,"Jgn lupa pake antena digital jg, kmrn tv nyokap jg gitu pake stb gambar jelek ternyata blom pasang antena digital https://t.co/2mjBaEH1yP",jgn lupa pake antena digital jg kmrn tv nyokap jg gitu pake stb gambar jelek blom pasang antena digital,negatif,1
2022-11-10,@Rusman30966088 @MardinasMarshel @NasDem @Metro_TV @aniesbaswedan @dewanpers @mediaindonesia @suryapaloh51 @pranandapaloh @PKSejahtera @PDemokrat @ganjarpranowo @PartaiGolkar @Gerindra @AgusYudhoyono @PDI_Perjuangan @ZUL_Hasan @Official_PAN @DPP_PPP @aheryawan @jabarprovgoid @SBYudhoyono @JatimPemprov @PemkotJogja @banten_prov @DKIJakarta @humasjateng @puanmaharani_ri @FIAFormulaE @KemenkeuRI Media sosial pilar demokrasi ke 5 setelah Trias Politica dan pers (yang dikuasai oposisi). Ruang digital berfungsi sebagai katup penyalur tatkala @DPR_RI lebih dianggap menjadi wakil partai dan bukan wakil rakyat. Jurnalisme warganet menjadi tumpuan opini #berimbang dan objektif. https://t.co/j4rlK3EV70,media sosial pilar demokrasi trias politica pers dikuasai oposisi ruang digital berfungsi katup penyalur tatkala dianggap wakil partai bukan wakil rakyat jurnalisme warganet tumpuan opini objektif,positif,0
2022-11-10,"@AREAJULID Kalau rumah kalian di luar jabodetabek, mending lupakan tv digital wkwk, pemerintah belum siap sebenernya, tapi maksain",rumah jabodetabek mending lupakan tv digital wkwk pemerintah sebenernya maksain,netral,1
2022-11-10,@Rusman30966088 @MardinasMarshel @NasDem @Metro_TV @aniesbaswedan @dewanpers @mediaindonesia @suryapaloh51 @pranandapaloh @PKSejahtera @PDemokrat @ganjarpranowo @PartaiGolkar @Gerindra @AgusYudhoyono @PDI_Perjuangan @ZUL_Hasan @Official_PAN @DPP_PPP @aheryawan @jabarprovgoid @SBYudhoyono @JatimPemprov @PemkotJogja @banten_prov @DKIJakarta @humasjateng @puanmaharani_ri @FIAFormulaE @KemenkeuRI Siapa sesungguhnya BuzzeRp? BuzzeRp adalah Tim Medsos dan Relawan Digital yang dikoordinasikan koordinator lapangan yang melakukan cloning ribuan akun robotik khusus dan bertujuan spesifik untuk melakukan firehose of falsehood di ruang digital. Kontestasi demokrasi yang dikotori. https://t.co/Iqr4G9IBDe,sesungguhnya buzzerp buzzerp tim medsos relawan digital dikoordinasikan koordinator lapangan cloning ribuan akun robotik khusus bertujuan spesifik firehose of falsehood ruang digital kontestasi demokrasi dikotori,positif,0
2022-11-10,Jadi sebenarnya TV digital belum tentu dapet semua channel ya... Harus nambah apa ya ini? Booster atau antena? Pengen yg dipasang indoor aja biar ga ribet perkabelan,tv digital dapet channel nambah booster antena pengen dipasang indoor biar ga ribet perkabelan,negatif,1
